group,index,age,MaleBar,FemaleBar
y1901,90,90+,3626.17,0
y1901,89,89,1633.54,2890.61
y1901,88,88,2138.34,3713.9
y1901,87,87,2836.01,4733.42
y1901,86,86,3740.82,6106.7
y1901,85,85,4922.15,7918.56
y1901,84,84,6328.96,9832.58
y1901,83,83,8125.93,12185.16
y1901,82,82,10110.68,14944.69
y1901,81,81,12265.43,17914.03
y1901,80,80,14576.11,20809
y1901,79,79,16994.94,23343.71
y1901,78,78,19485.04,26277.29
y1901,77,77,22268.02,29802.49
y1901,76,76,25392.92,33741.76
y1901,75,75,28654.79,37832.25
y1901,74,74,32147.66,41700.35
y1901,73,73,35678.08,45881.77
y1901,72,72,39088.66,50050.8
y1901,71,71,42446.46,54148.43
y1901,70,70,45954.93,58433.9
y1901,69,69,49368.01,61283.38
y1901,68,68,52195.5,64208.87
y1901,67,67,55874.23,68581
y1901,66,66,59972.75,73466.17
y1901,65,65,64184.98,78487.96
y1901,64,64,70430.03,83272.48
y1901,63,63,76939.27,89977.35
y1901,62,62,82345.06,96208.33
y1901,61,61,86754.09,101272.09
y1901,60,60,91224.11,106415.47
y1901,59,59,95060.3,107191.46
y1901,58,58,98319.33,109632.73
y1901,57,57,100132.87,111606.1
y1901,56,56,101179.51,112727.42
y1901,55,55,103851.92,115688.6
y1901,54,54,112802.86,123337.45
y1901,53,53,121716.12,132391.85
y1901,52,52,127596.19,138813.74
y1901,51,51,131782.78,143397.87
y1901,50,50,137157.4,149290.4
y1901,49,49,144992.15,155647.84
y1901,48,48,149544.07,159867.22
y1901,47,47,150855.09,161298.39
y1901,46,46,152815.02,163433.01
y1901,45,45,159226.95,170366.36
y1901,44,44,168241.18,178893.15
y1901,43,43,173665.04,184343
y1901,42,42,177323.77,188296.86
y1901,41,41,182169.83,193510.43
y1901,40,40,190612.23,202569.83
y1901,39,39,201733.91,216158.12
y1901,38,38,206317.34,221673.02
y1901,37,37,207272.87,222749.14
y1901,36,36,206783.61,222285.7
y1901,35,35,210112.61,225937.64
y1901,34,34,220000.27,240746.09
y1901,33,33,222733.86,245094.51
y1901,32,32,227232.15,250105.92
y1901,31,31,236496.02,260353.4
y1901,30,30,244876.88,269627.65
y1901,29,29,256957.9,287299.24
y1901,28,28,263586.85,296099.17
y1901,27,27,266523.48,299415.32
y1901,26,26,266237.92,299076.45
y1901,25,25,271817.5,305325.8
y1901,24,24,282869.24,316208.67
y1901,23,23,290411.95,324140.78
y1901,22,22,293480,327541.25
y1901,21,21,297881.47,332442.46
y1901,20,20,303845.7,339073.95
y1901,19,19,314129.55,327327.72
y1901,18,18,322301.84,328351.11
y1901,17,17,323817.51,329932.41
y1901,16,16,321979.55,328096.5
y1901,15,15,323081.8,329269.03
y1901,14,14,327074.09,328595
y1901,13,13,331445.35,331470.18
y1901,12,12,333541.17,333597.83
y1901,11,11,335036.02,335111.92
y1901,10,10,339508.02,339460.14
y1901,9,9,341639.09,343057.82
y1901,8,8,342869.25,344740.09
y1901,7,7,347220.67,349037.47
y1901,6,6,350496.5,352356.61
y1901,5,5,354332.92,356239.56
y1901,4,4,351033.47,354539.65
y1901,3,3,347345.22,351415.48
y1901,2,2,351265.55,355218.53
y1901,1,1,369416.92,371931.34
y1901,0,0,431254.17,423377.81
Y1951,90,90+,10601.94,0
Y1951,89,89,5284.65,12795
Y1951,88,88,7260.08,16766.33
Y1951,87,87,9871.39,21543.24
Y1951,86,86,13069.81,27044.21
Y1951,85,85,16899.09,33309.46
Y1951,84,84,21633.37,40799.72
Y1951,83,83,27223.72,49363.39
Y1951,82,82,33285.39,57895.23
Y1951,81,81,39942.89,66097.83
Y1951,80,80,48878.84,77714.58
Y1951,79,79,55962.79,84518.37
Y1951,78,78,65637.63,96932.06
Y1951,77,77,73605.05,107185.44
Y1951,76,76,84613.38,121378.35
Y1951,75,75,95001.99,135300.29
Y1951,74,74,104005.22,147211.37
Y1951,73,73,111293.55,157377.47
Y1951,72,72,118776.36,166887.41
Y1951,71,71,124255.82,171640.84
Y1951,70,70,134842.02,186817.32
Y1951,69,69,144856.94,196283.48
Y1951,68,68,150194.18,203520.44
Y1951,67,67,153954.72,205924.19
Y1951,66,66,160942.76,213522.52
Y1951,65,65,171064.56,224496.41
Y1951,64,64,177507.98,229187.08
Y1951,63,63,184401.57,237396.68
Y1951,62,62,190953.99,243129.72
Y1951,61,61,191128.09,239101.78
Y1951,60,60,200346.44,250925.84
Y1951,59,59,209404.18,257892.39
Y1951,58,58,217820.15,266114.68
Y1951,57,57,219768.75,266910.54
Y1951,56,56,222352.19,269755.25
Y1951,55,55,225475.29,273185.54
Y1951,54,54,235349.85,283375.98
Y1951,53,53,243683.28,289972.22
Y1951,52,52,253622.2,293970.67
Y1951,51,51,271667.52,301359.6
Y1951,50,50,297215.78,323666.23
Y1951,49,49,302611.49,316745.2
Y1951,48,48,306822.09,318778.76
Y1951,47,47,309546.46,321826.26
Y1951,46,46,315108.62,326966.42
Y1951,45,45,322621.53,332372.42
Y1951,44,44,322934.73,332542.18
Y1951,43,43,328243.4,339215.99
Y1951,42,42,338945.54,348803.48
Y1951,41,41,333605.84,340326.29
Y1951,40,40,337636.49,345467.62
Y1951,39,39,335634.47,343196.34
Y1951,38,38,333299.04,343976.78
Y1951,37,37,332225.32,343653.49
Y1951,36,36,332873.51,345042.31
Y1951,35,35,313295.05,324055.34
Y1951,34,34,293726.74,303584.6
Y1951,33,33,260715.91,270840.04
Y1951,32,32,258413.65,269250.42
Y1951,31,31,321337.76,329838.9
Y1951,30,30,365415.96,374074.55
Y1951,29,29,357336.29,365310.35
Y1951,28,28,333773.75,342190.1
Y1951,27,27,321820.25,329177.45
Y1951,26,26,315428.47,320423.87
Y1951,25,25,313443.76,316290.25
Y1951,24,24,306652.57,309583.21
Y1951,23,23,293921.92,300374.48
Y1951,22,22,286366.32,297208.48
Y1951,21,21,279340.52,295826.26
Y1951,20,20,268465.21,295899.89
Y1951,19,19,248323.42,288964.88
Y1951,18,18,259070.56,279110.82
Y1951,17,17,264277.56,269138.87
Y1951,16,16,270944.56,268977.5
Y1951,15,15,277226.29,271569.42
Y1951,14,14,283273.05,274953.6
Y1951,13,13,289815.46,279822.85
Y1951,12,12,292549.65,282498.58
Y1951,11,11,290715.02,280119.04
Y1951,10,10,278582.36,268286.07
Y1951,9,9,281040.61,270364.02
Y1951,8,8,308178.37,295572.59
Y1951,7,7,330356.02,315794.18
Y1951,6,6,345172.57,329504.03
Y1951,5,5,338485.98,323311.1
Y1951,4,4,399042.1,380849.41
Y1951,3,3,414486.25,395340.39
Y1951,2,2,384576.53,365545.32
Y1951,1,1,359796.89,342794.56
Y1951,0,0,345283.9,327881.21
y2018,90,90+,167009,361950
y2018,89,89,50297,86757
y2018,88,88,61794,101402
y2018,87,87,73224,113357
y2018,86,86,83798,123277
y2018,85,85,93055,131476
y2018,84,84,104143,141800
y2018,83,83,119193,156290
y2018,82,82,131207,168094
y2018,81,81,143896,179345
y2018,80,80,157065,190764
y2018,79,79,166392,198782
y2018,78,78,172046,202488
y2018,77,77,168807,197340
y2018,76,76,192021,220354
y2018,75,75,219625,247270
y2018,74,74,241234,266284
y2018,73,73,245020,269150
y2018,72,72,255554,278419
y2018,71,71,336190,361374
y2018,70,70,311407,335520
y2018,69,69,297174,318141
y2018,68,68,290138,312027
y2018,67,67,286256,305321
y2018,66,66,285760,303606
y2018,65,65,296655,311698
y2018,64,64,300853,317173
y2018,63,63,301744,314964
y2018,62,62,314633,325934
y2018,61,61,327219,338594
y2018,60,60,341131,351781
y2018,59,59,348931,359874
y2018,58,58,357968,368173
y2018,57,57,374426,384028
y2018,56,56,388635,398188
y2018,55,55,396937,408404
y2018,54,54,406510,418559
y2018,53,53,410161,423144
y2018,52,52,408088,421439
y2018,51,51,410877,419486
y2018,50,50,403737,415130
y2018,49,49,404530,416040
y2018,48,48,395535,406090
y2018,47,47,405365,416845
y2018,46,46,395517,401192
y2018,45,45,379234,385049
y2018,44,44,363192,369598
y2018,43,43,357469,362755
y2018,42,42,350575,355929
y2018,41,41,346424,348121
y2018,40,40,352101,353791
y2018,39,39,377286,379664
y2018,38,38,391859,397337
y2018,37,37,391396,397248
y2018,36,36,387242,394926
y2018,35,35,388951,394992
y2018,34,34,387477,391388
y2018,33,33,399528,398654
y2018,32,32,399827,398264
y2018,31,31,391440,398745
y2018,30,30,405599,405108
y2018,29,29,404407,398776
y2018,28,28,412432,397714
y2018,27,27,419212,404484
y2018,26,26,406516,398238
y2018,25,25,398344,382149
y2018,24,24,398777,377796
y2018,23,23,385545,364594
y2018,22,22,384953,359679
y2018,21,21,379090,356970
y2018,20,20,365272,345284
y2018,19,19,357238,337970
y2018,18,18,342704,323012
y2018,17,17,331230,315248
y2018,16,16,322053,304705
y2018,15,15,326966,309669
y2018,14,14,335049,319249
y2018,13,13,340477,324828
y2018,12,12,355341,338357
y2018,11,11,363050,344031
y2018,10,10,374227,356173
y2018,9,9,370701,353272
y2018,8,8,375940,358982
y2018,7,7,382853,365100
y2018,6,6,389944,372335
y2018,5,5,379046,360147
y2018,4,4,370156,352034
y2018,3,3,366885,348453
y2018,2,2,366722,348591
y2018,1,1,355122,337670
y2018,0,0,343642,326155